Junction,Date,Weekday,Time,Lane,Vehicle_Count,Congestion_Level,Signal_Time,Weather,Public_Holiday,Accident_Scale
Electronic City Phase 1,2023-01-01,Sunday,07:00:00,East,395,6.43,98,Rainy,No,4.69
Electronic City Phase 1,2023-01-01,Sunday,07:00:00,West,654,6.07,111,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,08:00:00,North,185,8.33,72,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,08:00:00,South,248,4.83,80,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,08:00:00,East,716,2.87,89,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,08:00:00,West,596,7.89,118,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,09:00:00,North,769,7.08,82,Cloudy,No,4.77
Electronic City Phase 1,2023-01-01,Sunday,09:00:00,South,192,4.43,77,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,09:00:00,East,878,4.44,99,Clear,No,4.87
Electronic City Phase 1,2023-01-01,Sunday,09:00:00,West,248,4.0,60,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,10:00:00,North,893,6.86,76,Cloudy,No,9.92
Electronic City Phase 1,2023-01-01,Sunday,10:00:00,South,666,5.81,78,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,10:00:00,East,488,4.79,86,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,10:00:00,West,714,5.44,105,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,11:00:00,North,154,5.32,105,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,11:00:00,South,705,1.53,78,Rainy,No,5.54
Electronic City Phase 1,2023-01-01,Sunday,11:00:00,East,416,1.11,77,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,11:00:00,West,634,7.89,102,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,12:00:00,North,202,5.44,110,Cloudy,No,2.33
Electronic City Phase 1,2023-01-01,Sunday,12:00:00,South,880,6.62,70,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,12:00:00,East,374,5.41,120,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,12:00:00,West,153,9.79,109,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,13:00:00,North,143,6.73,88,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,13:00:00,South,856,2.01,116,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,13:00:00,East,826,5.17,72,Rainy,No,7.54
Electronic City Phase 1,2023-01-01,Sunday,13:00:00,West,411,9.32,74,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,14:00:00,North,311,6.41,107,Rainy,No,3.83
Electronic City Phase 1,2023-01-01,Sunday,14:00:00,South,842,1.65,115,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,14:00:00,East,474,7.86,93,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,14:00:00,West,220,7.88,74,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,15:00:00,North,605,4.62,80,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,15:00:00,South,171,2.75,66,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,15:00:00,East,944,7.59,114,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,15:00:00,West,411,5.44,91,Clear,No,2.38
Electronic City Phase 1,2023-01-01,Sunday,16:00:00,North,663,9.44,98,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,16:00:00,South,236,3.41,61,Cloudy,No,5.14
Electronic City Phase 1,2023-01-01,Sunday,16:00:00,East,748,4.72,107,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,16:00:00,West,828,8.51,61,Cloudy,No,8.96
Electronic City Phase 1,2023-01-01,Sunday,17:00:00,North,956,9.52,115,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,17:00:00,South,202,8.9,101,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,17:00:00,East,995,4.47,97,Rainy,No,5.49
Electronic City Phase 1,2023-01-01,Sunday,17:00:00,West,807,1.84,77,Cloudy,No,9.89
Electronic City Phase 1,2023-01-01,Sunday,18:00:00,North,152,5.51,75,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,18:00:00,South,583,7.03,102,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,18:00:00,East,762,6.5,115,Clear,No,6.97
Electronic City Phase 1,2023-01-01,Sunday,18:00:00,West,490,1.57,103,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,19:00:00,North,458,7.84,64,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,19:00:00,South,906,2.71,114,Rainy,No,5.07
Electronic City Phase 1,2023-01-01,Sunday,19:00:00,East,642,5.86,66,Rainy,No,6.07
Electronic City Phase 1,2023-01-01,Sunday,19:00:00,West,977,7.23,99,Rainy,No,9.08
Electronic City Phase 1,2023-01-01,Sunday,20:00:00,North,446,9.7,115,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,20:00:00,South,639,3.4,80,Clear,No,7.44
Electronic City Phase 1,2023-01-01,Sunday,20:00:00,East,856,1.48,110,Clear,No,9.87
Electronic City Phase 1,2023-01-01,Sunday,20:00:00,West,983,5.18,83,Cloudy,No,7.24
Electronic City Phase 1,2023-01-01,Sunday,21:00:00,North,504,8.22,63,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,21:00:00,South,980,2.71,77,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,21:00:00,East,908,9.64,120,Clear,No,4.99
Electronic City Phase 1,2023-01-01,Sunday,21:00:00,West,447,6.42,93,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,22:00:00,North,737,5.99,102,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,22:00:00,South,220,3.8,113,Clear,No,5.96
Electronic City Phase 1,2023-01-01,Sunday,22:00:00,East,763,3.4,67,Clear,No,9.32
Electronic City Phase 1,2023-01-01,Sunday,22:00:00,West,980,5.83,81,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,23:00:00,North,670,2.67,100,Clear,No,9.83
Electronic City Phase 1,2023-01-01,Sunday,23:00:00,South,843,6.02,94,Rainy,No,7.09
Electronic City Phase 1,2023-01-01,Sunday,23:00:00,East,229,1.04,114,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,23:00:00,West,545,9.15,116,Cloudy,No,6.13
Electronic City Phase 1,2023-01-02,Monday,00:00:00,North,223,4.35,39,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,00:00:00,South,214,2.05,51,Clear,No,2.08
Electronic City Phase 1,2023-01-02,Monday,00:00:00,East,244,3.68,48,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,00:00:00,West,220,3.27,45,Clear,No,5.32
Electronic City Phase 1,2023-01-02,Monday,01:00:00,North,90,2.28,50,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,01:00:00,South,299,2.34,60,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,01:00:00,East,203,4.19,52,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,01:00:00,West,98,2.54,55,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,02:00:00,North,241,1.3,46,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,02:00:00,South,296,2.43,54,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,02:00:00,East,90,4.5,31,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,02:00:00,West,106,4.38,52,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,03:00:00,North,223,2.41,31,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,03:00:00,South,221,4.06,48,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,03:00:00,East,268,3.97,37,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,03:00:00,West,160,2.4,54,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,04:00:00,North,113,3.85,49,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,04:00:00,South,99,3.82,39,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,04:00:00,East,244,1.22,49,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,04:00:00,West,180,1.91,41,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,05:00:00,North,205,2.76,38,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,05:00:00,South,290,1.93,60,Cloudy,No,5.2
Electronic City Phase 1,2023-01-02,Monday,05:00:00,East,65,4.28,49,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,05:00:00,West,104,1.17,31,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,06:00:00,North,908,5.89,90,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,06:00:00,South,951,5.65,111,Rainy,No,9.53
Electronic City Phase 1,2023-01-02,Monday,06:00:00,East,849,4.92,99,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,06:00:00,West,575,2.58,83,Cloudy,No,8.95
Electronic City Phase 1,2023-01-02,Monday,07:00:00,North,484,9.43,107,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,07:00:00,South,307,1.02,64,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,07:00:00,East,121,3.24,109,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,07:00:00,West,882,2.7,83,Clear,No,4.57
Electronic City Phase 1,2023-01-02,Monday,08:00:00,North,603,9.98,106,Clear,No,7.39
Electronic City Phase 1,2023-01-02,Monday,08:00:00,South,613,1.32,87,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,08:00:00,East,485,1.95,71,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,08:00:00,West,956,6.77,110,Rainy,No,7.71
Electronic City Phase 1,2023-01-02,Monday,09:00:00,North,275,8.72,93,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,09:00:00,South,955,9.69,60,Clear,No,9.9
Electronic City Phase 1,2023-01-02,Monday,09:00:00,East,568,5.41,62,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,09:00:00,West,779,9.97,74,Clear,No,4.25
Electronic City Phase 1,2023-01-02,Monday,10:00:00,North,274,9.19,118,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,10:00:00,South,261,9.26,118,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,10:00:00,East,150,9.67,108,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,10:00:00,West,807,7.44,63,Cloudy,No,5.38
Electronic City Phase 1,2023-01-02,Monday,11:00:00,North,726,7.65,62,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,11:00:00,South,925,6.22,60,Clear,No,6.65
Electronic City Phase 1,2023-01-02,Monday,11:00:00,East,467,7.29,62,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,11:00:00,West,954,7.02,106,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,12:00:00,North,314,5.73,66,Cloudy,No,4.12
Electronic City Phase 1,2023-01-02,Monday,12:00:00,South,765,1.62,71,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,12:00:00,East,503,2.2,60,Clear,No,7.76
Electronic City Phase 1,2023-01-02,Monday,12:00:00,West,243,6.19,89,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,13:00:00,North,466,1.89,109,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,13:00:00,South,273,8.4,114,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,13:00:00,East,284,7.79,100,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,13:00:00,West,609,2.52,63,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,14:00:00,North,519,1.87,106,Rainy,No,9.47
Electronic City Phase 1,2023-01-02,Monday,14:00:00,South,513,8.22,91,Cloudy,No,8.84
Electronic City Phase 1,2023-01-02,Monday,14:00:00,East,255,2.53,78,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,14:00:00,West,815,5.75,114,Clear,No,9.9
Electronic City Phase 1,2023-01-02,Monday,15:00:00,North,225,7.12,118,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,15:00:00,South,786,5.0,77,Rainy,No,9.01
Electronic City Phase 1,2023-01-02,Monday,15:00:00,East,746,7.11,62,Rainy,No,5.98
Electronic City Phase 1,2023-01-02,Monday,15:00:00,West,148,8.26,65,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,16:00:00,North,410,1.31,113,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,16:00:00,South,630,6.72,99,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,16:00:00,East,369,3.79,84,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,16:00:00,West,845,3.63,96,Rainy,No,6.99
Electronic City Phase 1,2023-01-02,Monday,17:00:00,North,685,2.62,97,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,17:00:00,South,209,5.82,113,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,17:00:00,East,386,3.84,83,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,17:00:00,West,230,1.2,86,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,18:00:00,North,913,8.36,111,Cloudy,No,7.4
Electronic City Phase 1,2023-01-02,Monday,18:00:00,South,543,5.63,71,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,18:00:00,East,442,3.77,72,Cloudy,No,4.39
Electronic City Phase 1,2023-01-02,Monday,18:00:00,West,935,2.3,100,Clear,No,6.8
Electronic City Phase 1,2023-01-02,Monday,19:00:00,North,834,1.99,109,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,19:00:00,South,995,1.27,102,Clear,No,4.5
Electronic City Phase 1,2023-01-02,Monday,19:00:00,East,188,8.06,115,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,19:00:00,West,757,9.69,67,Cloudy,No,9.84
Electronic City Phase 1,2023-01-02,Monday,20:00:00,North,759,8.43,94,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,20:00:00,South,651,1.8,87,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,20:00:00,East,755,5.07,108,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,20:00:00,West,878,7.84,110,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,21:00:00,North,773,9.42,73,Cloudy,No,6.28
Electronic City Phase 1,2023-01-02,Monday,21:00:00,South,887,5.1,76,Cloudy,No,5.18
Electronic City Phase 1,2023-01-02,Monday,21:00:00,East,715,4.0,112,Cloudy,No,6.58
Electronic City Phase 1,2023-01-02,Monday,21:00:00,West,784,5.78,84,Clear,No,4.3
Electronic City Phase 1,2023-01-02,Monday,22:00:00,North,847,8.67,93,Clear,No,0
Electronic City Phase 1,2023-01-02,Monday,22:00:00,South,857,1.12,98,Clear,No,6.89
Electronic City Phase 1,2023-01-02,Monday,22:00:00,East,545,2.79,73,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,22:00:00,West,254,8.12,97,Clear,No,5.18
Electronic City Phase 1,2023-01-02,Monday,23:00:00,North,931,6.76,104,Rainy,No,0
Electronic City Phase 1,2023-01-02,Monday,23:00:00,South,188,3.88,89,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,23:00:00,East,308,6.37,118,Cloudy,No,0
Electronic City Phase 1,2023-01-02,Monday,23:00:00,West,178,3.8,113,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,00:00:00,North,192,3.3,34,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,00:00:00,South,297,4.62,51,Clear,No,3.56
Electronic City Phase 1,2023-01-03,Tuesday,00:00:00,East,257,4.9,35,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,00:00:00,West,103,1.57,41,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,01:00:00,North,234,2.49,43,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,01:00:00,South,221,1.71,45,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,01:00:00,East,270,3.44,54,Clear,No,3.03
Electronic City Phase 1,2023-01-03,Tuesday,01:00:00,West,168,2.06,33,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,02:00:00,North,158,4.08,52,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,02:00:00,South,161,1.52,35,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,02:00:00,East,121,2.62,35,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,02:00:00,West,126,2.13,41,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,03:00:00,North,269,4.76,56,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,03:00:00,South,105,4.65,33,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,03:00:00,East,223,4.33,60,Clear,No,4.06
Electronic City Phase 1,2023-01-03,Tuesday,03:00:00,West,145,1.87,56,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,04:00:00,North,255,2.34,41,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,04:00:00,South,175,1.4,34,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,04:00:00,East,228,1.9,37,Clear,No,5.16
Electronic City Phase 1,2023-01-03,Tuesday,04:00:00,West,201,1.35,44,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,05:00:00,North,130,1.08,44,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,05:00:00,South,296,4.38,33,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,05:00:00,East,247,1.47,47,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,05:00:00,West,58,4.66,51,Clear,No,1.55
Electronic City Phase 1,2023-01-03,Tuesday,06:00:00,North,313,4.87,93,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,06:00:00,South,857,6.15,69,Clear,No,5.94
Electronic City Phase 1,2023-01-03,Tuesday,06:00:00,East,766,4.56,76,Cloudy,No,8.39
Electronic City Phase 1,2023-01-03,Tuesday,06:00:00,West,953,6.82,90,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,07:00:00,North,174,3.88,78,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,07:00:00,South,810,8.77,120,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,07:00:00,East,851,7.57,117,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,07:00:00,West,949,8.58,120,Cloudy,No,7.33
Electronic City Phase 1,2023-01-03,Tuesday,08:00:00,North,920,2.91,64,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,08:00:00,South,332,8.78,69,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,08:00:00,East,756,8.31,100,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,08:00:00,West,962,4.14,83,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,09:00:00,North,434,3.7,109,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,09:00:00,South,493,2.39,69,Clear,No,2.94
Electronic City Phase 1,2023-01-03,Tuesday,09:00:00,East,920,8.08,76,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,09:00:00,West,742,7.28,117,Cloudy,No,5.62
Electronic City Phase 1,2023-01-03,Tuesday,10:00:00,North,791,5.19,109,Clear,No,7.16
Electronic City Phase 1,2023-01-03,Tuesday,10:00:00,South,485,9.78,120,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,10:00:00,East,569,7.83,114,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,10:00:00,West,556,5.72,117,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,11:00:00,North,524,6.72,83,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,11:00:00,South,816,1.83,106,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,11:00:00,East,781,5.72,73,Clear,No,9.18
Electronic City Phase 1,2023-01-03,Tuesday,11:00:00,West,827,7.08,69,Cloudy,No,6.49
Electronic City Phase 1,2023-01-03,Tuesday,12:00:00,North,455,9.96,64,Clear,No,5.74
Electronic City Phase 1,2023-01-03,Tuesday,12:00:00,South,951,8.52,99,Rainy,No,8.76
Electronic City Phase 1,2023-01-03,Tuesday,12:00:00,East,391,9.52,63,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,12:00:00,West,895,3.15,106,Cloudy,No,4.03
Electronic City Phase 1,2023-01-03,Tuesday,13:00:00,North,275,5.07,88,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,13:00:00,South,199,5.56,108,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,13:00:00,East,424,2.81,91,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,13:00:00,West,591,1.39,82,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,14:00:00,North,680,5.42,82,Cloudy,No,6.48
Electronic City Phase 1,2023-01-03,Tuesday,14:00:00,South,706,8.85,106,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,14:00:00,East,187,7.19,91,Clear,No,2.66
Electronic City Phase 1,2023-01-03,Tuesday,14:00:00,West,426,4.79,72,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,15:00:00,North,623,6.81,106,Rainy,No,8.3
Electronic City Phase 1,2023-01-03,Tuesday,15:00:00,South,479,2.24,116,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,15:00:00,East,105,2.09,104,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,15:00:00,West,612,6.87,68,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,16:00:00,North,486,1.24,79,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,16:00:00,South,669,1.25,113,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,16:00:00,East,536,5.42,65,Cloudy,No,7.12
Electronic City Phase 1,2023-01-03,Tuesday,16:00:00,West,559,1.1,95,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,17:00:00,North,169,1.96,95,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,17:00:00,South,836,9.87,81,Clear,No,4.39
Electronic City Phase 1,2023-01-03,Tuesday,17:00:00,East,401,7.5,67,Cloudy,No,5.16
Electronic City Phase 1,2023-01-03,Tuesday,17:00:00,West,405,1.11,115,Clear,No,3.56
Electronic City Phase 1,2023-01-03,Tuesday,18:00:00,North,961,3.0,82,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,18:00:00,South,674,8.13,112,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,18:00:00,East,589,7.17,83,Cloudy,No,5.01
Electronic City Phase 1,2023-01-03,Tuesday,18:00:00,West,233,7.52,101,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,19:00:00,North,159,4.41,72,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,19:00:00,South,725,5.08,96,Cloudy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,19:00:00,East,604,4.19,100,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,19:00:00,West,688,8.1,113,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,20:00:00,North,110,6.25,109,Clear,No,1.24
Electronic City Phase 1,2023-01-03,Tuesday,20:00:00,South,886,5.34,61,Clear,No,5.24
Electronic City Phase 1,2023-01-03,Tuesday,20:00:00,East,187,9.24,80,Clear,No,2.21
Electronic City Phase 1,2023-01-03,Tuesday,20:00:00,West,818,9.09,100,Cloudy,No,4.22
Electronic City Phase 1,2023-01-03,Tuesday,21:00:00,North,970,3.03,75,Cloudy,No,5.69
Electronic City Phase 1,2023-01-03,Tuesday,21:00:00,South,642,5.83,63,Rainy,No,0
Electronic City Phase 1,2023-01-03,Tuesday,21:00:00,East,262,1.48,77,Clear,No,2.73
Electronic City Phase 1,2023-01-03,Tuesday,21:00:00,West,791,1.67,119,Rainy,No,9.62
Electronic City Phase 1,2023-01-03,Tuesday,22:00:00,North,229,5.16,87,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,22:00:00,South,323,9.09,85,Clear,No,5.72
Electronic City Phase 1,2023-01-03,Tuesday,22:00:00,East,120,5.54,116,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,22:00:00,West,461,6.81,113,Clear,No,0
Electronic City Phase 1,2023-01-03,Tuesday,23:00:00,North,418,4.71,95,Clear,No,4.73
Electronic City Phase 1,2023-01-03,Tuesday,23:00:00,South,107,3.67,79,Clear,No,0
