Junction,Date,Weekday,Time,Lane,Vehicle_Count,Congestion_Level,Signal_Time,Weather,Public_Holiday
Electronic City Phase 1,2023-01-02,Monday,15:00:00,West,259,7.77,65,Clear,No
Electronic City Phase 1,2023-01-02,Monday,16:00:00,North,132,4.78,75,Clear,No
Electronic City Phase 1,2023-01-02,Monday,16:00:00,South,906,3.65,93,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,16:00:00,East,176,7.53,84,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,16:00:00,West,931,4.12,89,Clear,No
Electronic City Phase 1,2023-01-02,Monday,17:00:00,North,985,2.23,90,Clear,No
Electronic City Phase 1,2023-01-02,Monday,17:00:00,South,659,2.92,85,Clear,No
Electronic City Phase 1,2023-01-02,Monday,17:00:00,East,517,5.54,88,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,17:00:00,West,182,1.94,78,Clear,No
Electronic City Phase 1,2023-01-02,Monday,18:00:00,North,943,2.29,71,Clear,No
Electronic City Phase 1,2023-01-02,Monday,18:00:00,South,780,7.2,96,Clear,No
Electronic City Phase 1,2023-01-02,Monday,18:00:00,East,577,3.49,60,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,18:00:00,West,278,9.88,64,Clear,No
Electronic City Phase 1,2023-01-02,Monday,19:00:00,North,144,3.08,100,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,19:00:00,South,590,8.03,62,Clear,No
Electronic City Phase 1,2023-01-02,Monday,19:00:00,East,668,7.57,69,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,19:00:00,West,125,7.54,68,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,20:00:00,North,320,1.67,87,Clear,No
Electronic City Phase 1,2023-01-02,Monday,20:00:00,South,646,7.83,74,Clear,No
Electronic City Phase 1,2023-01-02,Monday,20:00:00,East,532,5.22,109,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,20:00:00,West,835,9.33,109,Clear,No
Electronic City Phase 1,2023-01-02,Monday,21:00:00,North,686,9.04,113,Clear,No
Electronic City Phase 1,2023-01-02,Monday,21:00:00,South,771,4.85,64,Clear,No
Electronic City Phase 1,2023-01-02,Monday,21:00:00,East,590,7.3,79,Clear,No
Electronic City Phase 1,2023-01-02,Monday,21:00:00,West,188,6.87,120,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,22:00:00,North,656,8.3,77,Clear,No
Electronic City Phase 1,2023-01-02,Monday,22:00:00,South,463,5.89,92,Clear,No
Electronic City Phase 1,2023-01-02,Monday,22:00:00,East,202,8.71,112,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,22:00:00,West,178,9.21,102,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,23:00:00,North,176,9.77,91,Clear,No
Electronic City Phase 1,2023-01-02,Monday,23:00:00,South,327,5.0,120,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,23:00:00,East,270,5.54,61,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,23:00:00,West,106,2.2,63,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,00:00:00,North,252,2.56,39,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,00:00:00,South,246,2.83,30,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,00:00:00,East,164,3.38,54,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,00:00:00,West,100,1.85,50,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,01:00:00,North,166,1.47,58,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,01:00:00,South,51,2.31,32,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,01:00:00,East,284,3.97,42,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,01:00:00,West,267,2.39,52,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,02:00:00,North,152,2.21,46,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,02:00:00,South,254,3.06,31,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,02:00:00,East,264,2.83,38,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,02:00:00,West,157,4.44,37,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,03:00:00,North,166,4.63,50,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,03:00:00,South,206,1.47,58,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,03:00:00,East,111,2.58,47,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,03:00:00,West,236,1.02,53,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,04:00:00,North,140,1.26,57,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,04:00:00,South,202,2.29,59,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,04:00:00,East,94,2.92,46,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,04:00:00,West,192,2.3,55,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,05:00:00,North,237,4.37,42,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,05:00:00,South,129,2.18,50,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,05:00:00,East,289,1.0,41,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,05:00:00,West,297,1.55,49,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,06:00:00,North,266,3.97,113,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,06:00:00,South,818,4.48,79,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,06:00:00,East,311,6.97,117,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,06:00:00,West,242,7.02,74,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,07:00:00,North,529,2.76,111,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,07:00:00,South,644,2.58,108,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,07:00:00,East,996,9.12,106,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,07:00:00,West,177,1.57,86,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,08:00:00,North,342,7.56,89,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,08:00:00,South,338,6.06,106,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,08:00:00,East,283,9.35,76,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,08:00:00,West,915,7.54,81,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,09:00:00,North,855,6.0,103,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,09:00:00,South,691,5.31,101,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,09:00:00,East,438,8.44,89,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,09:00:00,West,260,1.15,72,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,10:00:00,North,468,2.14,103,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,10:00:00,South,954,2.29,76,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,10:00:00,East,787,1.54,106,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,10:00:00,West,347,5.6,93,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,11:00:00,North,483,7.73,113,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,11:00:00,South,328,4.42,76,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,11:00:00,East,140,1.06,83,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,11:00:00,West,824,5.72,119,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,12:00:00,North,654,6.81,103,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,12:00:00,South,345,3.11,115,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,12:00:00,East,851,9.15,102,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,12:00:00,West,443,3.55,61,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,13:00:00,North,276,8.28,95,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,13:00:00,South,614,7.18,91,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,13:00:00,East,621,4.63,100,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,13:00:00,West,852,3.61,116,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,14:00:00,North,468,4.79,102,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,14:00:00,South,864,2.59,109,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,14:00:00,East,572,5.51,116,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,14:00:00,West,159,8.73,100,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,15:00:00,North,353,2.21,85,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,15:00:00,South,770,2.57,108,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,15:00:00,East,428,6.83,96,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,15:00:00,West,701,4.12,88,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,16:00:00,North,971,7.08,116,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,16:00:00,South,436,9.96,96,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,16:00:00,East,942,5.4,97,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,16:00:00,West,463,7.12,113,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,17:00:00,North,350,5.15,109,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,17:00:00,South,747,6.66,63,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,17:00:00,East,170,4.94,90,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,17:00:00,West,603,8.92,69,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,18:00:00,North,875,8.89,89,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,18:00:00,South,107,1.79,68,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,18:00:00,East,767,4.84,103,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,18:00:00,West,115,6.32,71,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,19:00:00,North,847,6.62,118,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,19:00:00,South,801,4.27,89,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,19:00:00,East,886,7.54,70,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,19:00:00,West,878,6.72,77,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,20:00:00,North,366,1.78,62,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,20:00:00,South,342,9.31,97,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,20:00:00,East,582,3.57,84,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,20:00:00,West,297,9.89,98,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,21:00:00,North,719,3.43,116,Rainy,No
Electronic City Phase 1,2023-01-03,Tuesday,21:00:00,South,716,2.61,66,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,21:00:00,East,981,2.61,66,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,21:00:00,West,243,1.32,84,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,22:00:00,North,128,9.32,105,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,22:00:00,South,825,3.15,64,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,22:00:00,East,128,4.56,65,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,22:00:00,West,958,1.69,97,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,23:00:00,North,776,2.23,108,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,23:00:00,South,769,5.92,61,Clear,No
Electronic City Phase 1,2023-01-03,Tuesday,23:00:00,East,819,9.36,96,Cloudy,No
Electronic City Phase 1,2023-01-03,Tuesday,23:00:00,West,903,2.74,108,Rainy,No
Electronic City Phase 1,2023-01-04,Wednesday,00:00:00,North,286,4.55,53,Clear,No
Electronic City Phase 1,2023-01-04,Wednesday,00:00:00,South,270,2.94,55,Cloudy,No
Electronic City Phase 1,2023-01-04,Wednesday,00:00:00,East,105,3.07,39,Clear,No
Electronic City Phase 1,2023-01-04,Wednesday,00:00:00,West,264,1.54,33,Clear,No
Electronic City Phase 1,2023-01-04,Wednesday,01:00:00,North,64,4.19,52,Rainy,No
Electronic City Phase 1,2023-01-04,Wednesday,01:00:00,South,166,1.24,48,Cloudy,No
Electronic City Phase 1,2023-01-04,Wednesday,01:00:00,East,94,4.52,58,Rainy,No
Electronic City Phase 1,2023-01-04,Wednesday,01:00:00,West,80,1.51,35,Cloudy,No
Electronic City Phase 1,2023-01-04,Wednesday,02:00:00,North,205,2.55,50,Clear,No
Electronic City Phase 1,2023-01-04,Wednesday,02:00:00,South,265,2.82,33,Clear,No
Electronic City Phase 1,2023-01-04,Wednesday,02:00:00,East,179,4.96,48,Clear,No
Electronic City Phase 1,2023-01-04,Wednesday,02:00:00,West,253,3.12,46,Cloudy,No
Electronic City Phase 1,2023-01-04,Wednesday,03:00:00,North,244,3.94,59,Rainy,No
Electronic City Phase 1,2023-01-04,Wednesday,03:00:00,South,151,3.33,42,Cloudy,No
Electronic City Phase 1,2023-01-04,Wednesday,03:00:00,East,97,4.69,49,Rainy,No
